x,y,yaw,km,kf
10.0,-0.0,0.4363323129985823,0.048574239686458125,0.13885440880297675
15.0,-0.0,0.4363323129985823,0.03238282645763874,0.09256960586865118
5.0,2.0,0.43633231299858216,0.06472159950054442,0.07962027113954308
10.0,2.0,0.43633231299858244,0.044643918100797375,0.04952213661660263
15.0,2.0,0.4363323129985824,0.03153300349216943,0.05286637378581824
5.0,4.0,0.43633231299858233,0.024604718929965894,0.43694935988503947
10.0,4.0,0.43633231299858216,0.03236079975027221,0.03981013556977154
15.0,4.0,0.43633231299858233,0.027338702385880955,0.013163141702985295
5.0,6.0,0.43633231299858233,0.00921867998947945,0.794278448630536
10.0,6.0,0.436332312998582,0.020420208326725676,0.12914240775614572
15.0,6.0,0.43633231299858233,0.02157386650018148,0.026540090379847666
5.0,8.0,0.4363323129985816,0.0038431290361709766,1.1516075373760344
10.0,8.0,0.43633231299858233,0.012302359464982947,0.21847467994251973
15.0,8.0,0.43633231299858216,0.016012937094048097,0.06624332246268062
5.0,10.0,0.43633231299858305,0.00175271957121181,1.5089366261215276
10.0,10.0,0.43633231299858233,0.007441672608277946,0.3078069521288939
15.0,10.0,0.436332312998582,0.011518693185055303,0.10594655454551362
